DATE,CODE,SHARES,BASIS,PRICE
2018-08-05,AFI,5060,5.021,6.37
2018-08-05,ANN,146,20.718,28.76
2018-08-05,ANZ,1381,25.156,28.64
2018-08-05,AST,3000,0.000,1.62
2018-08-05,COH,100,59.823,203.84
2018-08-05,CSR,5000,1.751,4.17
2018-08-05,DLX,1000,0.436,7.67
2018-08-05,IOO,360,54.400,65.17
2018-08-05,MIR,5060,2.190,2.65
2018-08-05,MQG,200,50.430,121.62
2018-08-05,NZM,643,0.000,0.77
2018-08-05,ORI,1000,13.062,17.45
2018-08-05,STW,856,53.638,58.42
2018-08-05,TLS,6000,4.208,2.82
2018-08-05,VAF,400,48.496,48.50
2018-08-05,VAP,278,76.940,80.63
2018-08-05,VSO,2,52.380,57.20
2018-08-05,WES,1090,26.784,49.84
2018-08-05,WOW,2029,22.261,29.72
